"","higherseed_win_prob","lowerseed_win_prob","game4_prob","game5_prob","game6_prob","game7_prob","team","opponent"
"112",0.51,0.49,0.1,0.25,0.321,0.329,"LAL","MIA"
"113",0.488,0.512,0.128,0.248,0.326,0.298,"NOP","OKC"
"114",0.425,0.575,0.12,0.255,0.331,0.294,"NOP","DEN"
"115",0.614,0.386,0.128,0.251,0.329,0.292,"NOP","MIN"
"116",0.711,0.289,0.144,0.272,0.313,0.271,"NOP","LAC"
"117",0.604,0.396,0.133,0.256,0.32,0.291,"NOP","DAL"
"118",0.594,0.406,0.14,0.264,0.296,0.3,"NOP","PHX"
"119",0.624,0.376,0.133,0.255,0.3,0.312,"NOP","LAL"
"120",0.513,0.487,0.115,0.241,0.324,0.32,"NOP","NOP"
"121",0.368,0.632,0.136,0.253,0.315,0.296,"NOP","BOS"
"122",0.533,0.467,0.121,0.236,0.347,0.296,"NOP","NYK"
"123",0.666,0.334,0.141,0.256,0.301,0.302,"NOP","MIL"
"124",0.678,0.322,0.163,0.249,0.286,0.302,"NOP","CLE"
"125",0.685,0.315,0.131,0.283,0.288,0.298,"NOP","ORL"
"126",0.661,0.339,0.133,0.266,0.322,0.279,"NOP","IND"
"127",0.567,0.433,0.131,0.232,0.318,0.319,"NOP","PHI"
"128",0.579,0.421,0.147,0.255,0.298,0.3,"NOP","MIA"
"129",0.664,0.336,0.119,0.285,0.279,0.317,"BOS","OKC"
"130",0.624,0.376,0.095,0.261,0.297,0.347,"BOS","DEN"
"131",0.795,0.205,0.151,0.297,0.289,0.263,"BOS","MIN"
"132",0.845,0.155,0.215,0.318,0.252,0.215,"BOS","LAC"
"133",0.761,0.239,0.153,0.297,0.283,0.267,"BOS","DAL"
"134",0.753,0.247,0.14,0.273,0.325,0.262,"BOS","PHX"
"135",0.78,0.22,0.136,0.304,0.276,0.284,"BOS","LAL"
"136",0.673,0.327,0.137,0.285,0.294,0.284,"BOS","NOP"
"137",0.521,0.479,0.12,0.243,0.321,0.316,"BOS","BOS"
"138",0.7,0.3,0.122,0.315,0.283,0.28,"BOS","NYK"
"139",0.803,0.197,0.149,0.317,0.273,0.261,"BOS","MIL"
"140",0.833,0.167,0.171,0.306,0.265,0.258,"BOS","CLE"
"141",0.822,0.178,0.172,0.354,0.221,0.253,"BOS","ORL"
"142",0.811,0.189,0.156,0.317,0.266,0.261,"BOS","IND"
"143",0.74,0.26,0.165,0.266,0.29,0.279,"BOS","PHI"
"144",0.755,0.245,0.154,0.303,0.282,0.261,"BOS","MIA"
"145",0.546,0.454,0.085,0.248,0.333,0.334,"NYK","OKC"
"146",0.453,0.547,0.111,0.248,0.316,0.325,"NYK","DEN"
"147",0.648,0.352,0.104,0.261,0.293,0.342,"NYK","MIN"
"148",0.692,0.308,0.158,0.24,0.311,0.291,"NYK","LAC"
"149",0.578,0.422,0.122,0.254,0.322,0.302,"NYK","DAL"
"150",0.634,0.366,0.13,0.276,0.289,0.305,"NYK","PHX"
"151",0.634,0.366,0.099,0.248,0.315,0.338,"NYK","LAL"
